name;city, state;country;codes;passengers
 Hartsfield–Jackson Atlanta International Airport;Atlanta, Georgia;United States;ATL/KATL;22,746,009
 Beijing Capital International Airport;Chaoyang-Shunyi, Beijing;China;PEK/ZBAA;21,663,240
 Dubai International Airport;Garhoud, Dubai;United Arab Emirates;DXB/OMDB;19,606,327
 Tokyo Haneda Airport;Ōta, Tokyo;Japan;HND/RJTT;18,053,930
 Los Angeles International Airport;Los Angeles, California;United States;LAX/KLAX;16,416,281
 London Heathrow Airport;Hillingdon, London;United Kingdom;LHR/EGLL;16,364,246
 Hong Kong International Airport;Chek Lap Kok, Hong Kong;China;HKG/VHHH;16,328,000
 O'Hare International Airport;Chicago, Illinois;United States;ORD/KORD;16,258,025
 Dallas/Fort Worth International Airport;Dallas-Fort Worth, Texas;United States;DFW/KDFW;14,487,751
 Suvarnabhumi Airport;Bang Phli, Samut Prakan;Thailand;BKK/VTBS;14,139,314
 Shanghai Pudong International Airport;Pudong, Shanghai;China;PVG/ZSPD;14,136,814
 Paris-Charles de Gaulle Airport;Roissy-en-France, Île-de-France;France;CDG/LFPG;14,113,587
 Guangzhou Baiyun International Airport;Baiyun-Huadu, Guangzhou, Guangdong;China;CAN/ZGGG;14,094,902
 Singapore Changi Airport;Changi;Singapore;SIN/WSSS;13,076,000
 Istanbul Atatürk Airport;Istanbul;Turkey;IST/LTBA;12,944,832
 Seoul Incheon International Airport;Incheon;Republic of Korea;ICN/RKSI;12,539,595
 Frankfurt Airport;Frankfurt, Hesse;Germany;FRA/EDDF;12,508,282
 Soekarno-Hatta International Airport;Cengkareng, Banten;Indonesia;CGK/WIII;12,314,667
 Denver International Airport;Denver, Colorado;United States;DEN/KDEN;12,213,404
 Kuala Lumpur International Airport;Sepang, Selangor;Malaysia;KUL/WMKK;11,972,635
 John F. Kennedy International Airport;Queens, New York City, New York;United States;JFK/KJFK;11,924,793
 Amsterdam Airport Schiphol;Haarlemmermeer, North Holland;The Netherlands;AMS/EHAM;11,530,950
 Phoenix Sky Harbor International Airport;Phoenix, Arizona;United States;PHX/KPHX;11,015,495
 Miami International Airport;Miami-Dade County, Florida;United States;MIA/KMIA;10,978,401
 San Francisco International Airport;San Mateo County, California;United States;SFO/KSFO;10,799,749
 Indira Gandhi International Airport;Delhi;India;DEL/VIDP;10,686,816
 Charlotte Douglas International Airport;Charlotte, North Carolina;United States;CLT/KCLT;10,344,920
 McCarran International Airport;Las Vegas, Nevada;United States;LAS/KLAS;10,307,039
 Chengdu Shuangliu International Airport;Shuangliu, Chengdu, Sichuan;China;CTU/ZUUU;10,184,839
 São Paulo-Guarulhos International Airport;Guarulhos, São Paulo;Brazil;GRU/SBGR;9,961,379